Year,Month,Day,VPM1,VPM2,Amplitude
1980,6,22,-1.19028,-0.64813,1.3553
1980,6,23,-1.52651,-0.65518,1.66117
1980,6,24,-1.87536,-0.5473,1.95359
1980,6,25,-1.73552,-0.54104,1.81789
1980,6,26,-1.4535,-0.3509,1.49525
1980,6,27,-1.3976,-0.06206,1.39898
1980,6,28,-1.40286,-0.1064,1.40689
1980,6,29,-1.24366,-0.12604,1.25003
1980,6,30,-1.303,-0.23217,1.32353
1980,7,1,-1.61792,-0.0427,1.61849
1980,7,2,-1.96906,0.30083,1.9919
1980,7,3,-2.49506,0.67645,2.58513
1980,7,4,-2.59686,1.20422,2.86249
1980,7,5,-2.22911,0.83522,2.38044
1980,7,6,-1.59465,0.86886,1.81599
1980,7,7,-1.3506,0.98283,1.67035
1980,7,8,-0.94189,0.99659,1.37126
1980,7,9,-0.69003,0.80749,1.06216
1980,7,10,-0.64658,0.43086,0.77698
1980,7,11,-0.76987,0.05594,0.7719
1980,7,12,-0.68431,-0.13688,0.69786
1980,7,13,-0.8179,-0.42716,0.92273
1980,7,14,-0.7179,-0.72292,1.01882
1980,7,15,-0.5414,-0.73573,0.91346
1980,7,16,-0.6848,-0.34966,0.7689
1980,7,17,-0.93129,-0.30798,0.9809
1980,7,18,-0.90717,-0.36504,0.97786
1980,7,19,-0.76951,-0.29762,0.82506
1980,7,20,-0.47552,-0.43086,0.64169
1980,7,21,-0.24312,-0.54261,0.59458
1980,7,22,-0.17794,-0.81861,0.83773
1980,7,23,-0.20309,-1.08611,1.10494
1980,7,24,-0.38728,-1.01195,1.08352
1980,7,25,-0.53085,-1.22706,1.33697
1980,7,26,-0.14097,-1.27534,1.28311
1980,7,27,0.25161,-1.03981,1.06982
1980,7,28,0.09812,-0.87204,0.87754
1980,7,29,-0.14935,-0.81456,0.82814
1980,7,30,-0.04717,-0.87028,0.87156
1980,7,31,-0.17751,-0.91201,0.92912
1980,8,1,-0.13221,-1.24786,1.25485
1980,8,2,0.00458,-1.25711,1.25712
1980,8,3,-0.07369,-1.14721,1.14958
1980,8,4,-0.16176,-1.04913,1.06153
1980,8,5,-0.28792,-1.05369,1.09231
1980,8,6,-0.1859,-0.98212,0.99956
1980,8,7,0.11414,-1.19062,1.19608
1980,8,8,0.43269,-0.86099,0.9636
1980,8,9,0.48891,-0.72911,0.87786
1980,8,10,0.42785,-0.74066,0.85535
1980,8,11,0.68532,-0.74047,1.00893
1980,8,12,0.73045,-0.74015,1.03989
1980,8,13,0.56546,-0.64935,0.86105
1980,8,14,0.31292,-0.63876,0.71129
1980,8,15,0.17961,-0.54261,0.57157
1980,8,16,-0.1336,-0.64726,0.6609
1980,8,17,-0.20616,-1.01589,1.03659
1980,8,18,-0.30322,-1.20215,1.2398
1980,8,19,-0.47365,-1.3717,1.45118
1980,8,20,-0.82564,-1.3296,1.56509
1980,8,21,-1.1556,-0.72595,1.3647
1980,8,22,-1.841,-0.28096,1.86232
1980,8,23,-2.0356,0.07261,2.03689
1980,8,24,-1.88009,0.52747,1.95268
1980,8,25,-1.76907,0.80552,1.94383
1980,8,26,-1.57489,0.39931,1.62472
