Year,Month,Day,OMI1,OMI2,Amplitude
1979,11,22,0.53054,1.34321,1.44419
1979,11,23,0.32545,1.335,1.3741
1979,11,24,0.14826,1.28657,1.29508
1979,11,25,-0.01936,1.21256,1.21271
1979,11,26,-0.18669,1.11931,1.13477
1979,11,27,-0.35749,1.01014,1.07153
1979,11,28,-0.53239,0.88734,1.0348
1979,11,29,-0.70998,0.75287,1.03483
1979,11,30,-0.88742,0.60861,1.07606
1979,12,1,-1.06065,0.45627,1.15462
1979,12,2,-1.22468,0.29733,1.26025
1979,12,3,-1.37377,0.13295,1.38019
1979,12,4,-1.5018,-0.03604,1.50224
1979,12,5,-1.6026,-0.20901,1.61618
1979,12,6,-1.67034,-0.38535,1.71422
1979,12,7,-1.69992,-0.56407,1.79106
1979,12,8,-1.68726,-0.74346,1.84379
1979,12,9,-1.62968,-0.92051,1.87168
1979,12,10,-1.52633,-1.09041,1.87581
1979,12,11,-1.37892,-1.24615,1.85858
1979,12,12,-1.19288,-1.37865,1.82308
1979,12,13,-0.97842,-1.47801,1.77251
1979,12,14,-0.7504,-1.53605,1.70954
1979,12,15,-0.52616,-1.54905,1.63597
1979,12,16,-0.32169,-1.51893,1.55262
1979,12,17,-0.14845,-1.45189,1.45946
1979,12,18,-0.01229,-1.35593,1.35598
1979,12,19,0.08565,-1.23868,1.24164
1979,12,20,0.14759,-1.10651,1.11631
1979,12,21,0.17785,-0.9644,0.98066
1979,12,22,0.18204,-0.81624,0.8363
1979,12,23,0.16656,-0.66522,0.68575
1979,12,24,0.13816,-0.51405,0.53229
1979,12,25,0.10354,-0.36513,0.37952
1979,12,26,0.06888,-0.22058,0.23109
1979,12,27,0.03939,-0.08228,0.09122
1979,12,28,0.01893,0.04822,0.0518
1979,12,29,0.00971,0.16963,0.16991
1979,12,30,0.01222,0.28097,0.28124
1979,12,31,0.03558,0.38218,0.38384
1980,1,1,0.05983,0.46738,0.47119
1980,1,2,0.09138,0.54362,0.55125
1980,1,3,0.1249,0.60788,0.62058
